Madrasah Name,Mad_Eiin,center_code,center_eiin,session,Group code,Subject Name,Division,District,Police Station,Mobile,Total students
DARUNNAZAT SIDDIKIA KAMIL MADRASAH,107906,151,107906,2017-18,6001,AL-QURAN AND ISLAMIC STUDIES,Dhaka,DHAKA,DEMRA,"01712891493(p), 01916604225",45
DARUNNAZAT SIDDIKIA KAMIL MADRASAH,107906,151,107906,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,Dhaka,DHAKA,DEMRA,"01712891493(p), 01916604225",46
SREEPUR BHANGNAHATI RAHMANIA KAMIL MADRASAH,109385,154,109385,2017-18,6001,AL-QURAN AND ISLAMIC STUDIES,Dhaka,GAZIPUR,SREEPUR,01713-060801,26
SREEPUR BHANGNAHATI RAHMANIA KAMIL MADRASAH,109385,154,109385,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,Dhaka,GAZIPUR,SREEPUR,01713-060801,9
QUADERIA TAIYEBIA KAMIL MADRASAH,108244,152,108244,2017-18,6001,AL-QURAN AND ISLAMIC STUDIES,Dhaka,DHAKA,MOHAMMADPUR,"01627715444(p),01819-871277(p), 01916372830(off)",2
QUADERIA TAIYEBIA KAMIL MADRASAH,108244,152,108244,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,Dhaka,DHAKA,MOHAMMADPUR,"01627715444(p),01819-871277(p), 01916372830(off)",8
RANGUNIA ALAM SHAH PARA KAMIL MADRASAH,104831,161,104831,2017-18,6001,AL-QURAN AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,RANGUNIA,"1830043347(p), 01819337434(v.p)",1
DHAP SATGARA BAITUL MUKARRAM MODEL KAMIL MADRASAH,127450,173,127450,2017-18,6001,AL-QURAN AND ISLAMIC STUDIES,Rangpur,RANGPUR,RANGPUR SADAR,"01556-335962(P), 01712-841672(off.)",40
DHAP SATGARA BAITUL MUKARRAM MODEL KAMIL MADRASAH,127450,173,127450,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,Rangpur,RANGPUR,RANGPUR SADAR,"01556-335962(P), 01712-841672(off.)",25
TA'MIRUL MILLAT KAMIL MADRASAH,108478,153,108478,2017-18,6003,DA'WAH AND ISLAMIC STUDIES,Dhaka,DHAKA,DEMRA,01712-119472,4
TA'MIRUL MILLAT KAMIL MADRASAH,108478,153,108478,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,Dhaka,DHAKA,DEMRA,01712-119472,12
MADRASAH -E- ALIA,108151,150,108151,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,Dhaka,DHAKA,LALBAG,"1710908686, 01912119343",9
MADRASAH -E- ALIA,108151,150,108151,2017-18,6001,AL-QURAN AND ISLAMIC STUDIES,Dhaka,DHAKA,LALBAG,"1710908686, 01912119343",27
N. AKAND KAMIL MADRASAH,113181,155,113181,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,Mymensingh,NETROKONA,NETROKONA SADAR,"1916711271(p), 01718438243",12
TANGAIL DARUL ULUM KAMIL MADRASAH,114727,NULL,NULL,2017-18,NULL,NULL,Dhaka,TANGAIL,TANGAIL SADAR,"1718744067, 01918568210(off)",0
FARIDGONJ MAZIDIA KAMIL MADRASAH,103624,166,103624,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHANDPUR,FARIDGONJ,"1740936103(p), 01712653349(v.p)",17
BAITUSH SHARAF ADARSHA KAMIL MADRASAH,104395,163,104395,2017-18,NULL,NULL,CHATTOGRAM,CHATTOGRAM,DOUBLEMURING,"1846552005(p), 01819974737(off)",0
SIPATALI JAMEYA GAUSIA MUINIA KAMIL MADRASAH,104455,159,104455,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,HATHAZARI,"1819337854, 01830046090",7
DARUL ULUM KAMIL MADRASAH,104524,157,104524,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,KOTWALI,"1911710517(V.P), 01813671620(off)",4
SOBHANIA ALIA KAMIL MADRASAH,104523,158,104523,2017-18,6005,ISLAMIC HISTORY AND CULTURE,CHATTOGRAM,CHATTOGRAM,KOTWALI,"01819108181(p), 01815515010(v.p)",6
CHUNTI HAKIMIA KAMIL MADRASAH,104569,NULL,NULL,2017-18,NULL,NULL,CHATTOGRAM,CHATTOGRAM,LOHAGARA,"01819177856, 01818212611",0
CHATTAGRAM NESARIA KAMIL MADRASAH,104681,156,104681,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,PAHARTALI,"01554316043(p), 017114484409(off)",11
JAMEYA AHAMADIA SUNNIA KAMIL MADRASAH,104702,160,104702,2017-18,6001,AL-QURAN AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,PACHLAISH,"31655476(p), 01912511936(off)",17
JAMEYA AHAMADIA SUNNIA KAMIL MADRASAH,104702,160,104702,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,PACHLAISH,"31655476(p), 01912511936(off)",21
KAGATIA ESHATUL ULUM KAMIL MADRASAH,104914,161,104831,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,ROWZAN,"1819360770(p), 01815521797(v.p)",10
COX'S BAZAR MODEL WOMEN'S KAMIL MADRASAH,106292,164,106292,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,COX'S BAZAR,COX`S BAZAR SADAR,"01729090071(p), 01814812324(off)",3
ISLAMIA MOHILA KAMIL MADRASAH,106293,165,106293,2017-18,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,COX'S BAZAR,COX`S BAZAR SADAR,"01711280785(p),",10
LAXHMIPUR DARUL ULUM KAMIL MADRASAH,106949,NULL,NULL,2017-18,NULL,NULL,CHATTOGRAM,LUXMIPUR,LUXMIPUR SADAR,01716103968(muhaddith),0
RAIPUR KAMIL MADRASAH,107030,NULL,NULL,2017-18,NULL,NULL,CHATTOGRAM,LUXMIPUR,RAYPUR,"01718099777(p), 01717378433(v.p)",0
JOYPURHAT SIDDIQUIYA KAMIL MADRASAH,121855,172,121855,2017-18,6001,AL-QURAN AND ISLAMIC STUDIES,Rajshahi,JAIPURHAT,JAIPURHAT SADAR,"1712265911(p), 01718629818(v.p)",9
